Date,Open*,High,Low,Close**,Volume,Market Cap,Averages,Price in SATS,Bitcoin Price
11-Mar-19,8.86,8.92,8.59,8.78,"313,082,304","570,864,962",8.755,0.002158132,"3,927.81"
10-Mar-19,9.05,9.09,8.8,8.87,"290,220,064","576,572,176",8.945,0.002222531,"3,945.28"
9-Mar-19,8.85,9.17,8.84,9.02,"297,585,392","586,274,320",9.005,0.002252255,"3,939.82"
8-Mar-19,9.26,9.29,8.8,8.86,"326,617,088","575,866,976",9.045,0.002295793,"3,912.83"
7-Mar-19,8.8,9.33,8.77,9.25,"307,951,799","600,947,847",9.05,0.001367639,"3,916.74"
6-Mar-19,8.84,8.91,8.71,8.81,"282,146,719","572,348,107",8.81,0.000957277,"3,895.49"
5-Mar-19,8.29,8.9,8.22,8.84,"301,955,652","574,908,500",8.56,0.00094341,"3,824.55"
4-Mar-19,8.7,8.75,8.14,8.29,"314,165,465","538,561,512",8.445,0.002416012,"3,800.57"
3-Mar-19,8.82,8.91,8.67,8.71,"226,822,878","566,062,627",8.79,0.001353995,"3,856.20"
2-Mar-19,9.02,9.14,8.79,8.82,"259,087,758","573,273,850",8.965,0.002261964,"3,853.37"
1-Mar-19,8.93,9.26,8.87,9.02,"260,838,267","586,247,389",9.065,0.002483657,"3,879.75"
28-Feb-19,8.98,9.1,8.91,8.94,"240,794,894","581,139,519",9.005,0.002323307,"3,875.94"
27-Feb-19,9.16,9.25,8.78,8.98,"296,811,753","583,591,214",9.015,0.001002815,"3,837.93"
26-Feb-19,9.37,9.37,9.01,9.15,"335,598,444","594,461,410",9.19,0.001798315,"3,864.79"
25-Feb-19,9.08,9.51,8.96,9.37,"318,263,212","608,786,824",9.235,0.001445971,"3,860.36"
24-Feb-19,10.18,10.76,8.73,9.08,"546,178,687","590,106,576",9.745,0.001130604,"4,002.18"
23-Feb-19,8.76,10.21,8.65,10.18,"358,802,825","661,889,387",9.43,0.001093391,"4,067.51"
22-Feb-19,8.65,8.85,8.65,8.8,"188,250,575","571,862,702",8.75,0.002529337,"3,978.68"
21-Feb-19,9.2,9.2,8.6,8.64,"227,003,933","561,902,748",8.9,0.001172549,"3,975.06"
20-Feb-19,9,9.21,8.87,9.21,"239,088,321","598,402,688",9.04,0.000631905,"3,963.37"
19-Feb-19,8.85,9.27,8.8,9.02,"264,778,436","586,130,568",9.035,0.002328761,"3,959.52"
18-Feb-19,8.4,8.93,8.25,8.85,"232,315,948","575,503,154",8.59,0.002370217,"3,803.33"
